name,nickname,score,count,platform,date,dna,company,tag,url
勇者战机少女 世界啊，宇宙啊，刮目相看吧！！终极ＲＰＧ宣言！！,勇者ネプテューヌ 世界よ宇宙よ刮目せよ！！ アルティメットRPG宣言！！,-1.0,-1,"['PS4', 'Switch']",2018-12-20,"['动作', '角色扮演', '3D']",Artisan Studios,"['动作', '角色扮演', '3D']",https://www.vgtime.com/game/10714.jhtml
热血世界 经典合集,くにおくん ザ・ワールド クラシックスコレクション,-1.0,-1,"['PC', 'XBone', 'PS4', 'Switch']",2018-12-20,"['动作', '平台', '冒险']",Arc System Works,"['动作', '平台', '冒险', '童年']",https://www.vgtime.com/game/10715.jhtml
勇者斗恶龙 建造者2,ドラゴンクエスト ビルダーズ2,-1.0,-1,"['PS4', 'Switch']",2018-12-20,"['模拟', '沙箱']",Koei Tecmo,"['模拟', '沙箱']",https://www.vgtime.com/game/10460.jhtml
方根书简 Last Answer,√Letter ルートレター Last Answer,-1.0,-1,"['PSV', 'PS4', 'Switch']",2018-12-20,['文字'],Kadokawa Games,['文字'],https://www.vgtime.com/game/10975.jhtml
薄暮传说 重制版,テイルズ オブ ヴェスペリア REMASTER,-1.0,-1,"['PC', 'XBone', 'PS4', 'Switch']",2019-01-11,"['动作', '角色扮演', '第三人称', '剧情']",Bandai Namco,"['动作', '角色扮演', '第三人称', '剧情', 'RPG', '经典']",https://www.vgtime.com/game/10770.jhtml
马里奥与路易吉RPG3 DX,マリオ＆ルイージRPG3 DX,-1.0,-1,['3DS'],2018-12-27,['角色扮演'],Nintendo,['角色扮演'],https://www.vgtime.com/game/10627.jhtml
新超级马力欧兄弟U 豪华版,New Super Mario Bros. U Deluxe,-1.0,-1,['Switch'],2019-01-11,"['动作', '益智', '派对', '多人']",Nintendo,"['动作', '益智', '派对', '多人']",https://www.vgtime.com/game/10904.jhtml
皇牌空战7：未知天空,Ace Combat 7: Skies Unknown,-1.0,-1,"['PC', 'XBone', 'PS4']",2019-01-17,"['模拟', '射击']",Project Aces,"['模拟', '射击']",https://www.vgtime.com/game/3494.jhtml
英雄不再：Travis Strikes Again,Travis Strikes Again: No More Heroes,-1.0,-1,['Switch'],2019-01-18,"['动作', '角色扮演', '冒险', '第三人称']",Grasshopper Manufacture,"['动作', '角色扮演', '冒险', '第三人称']",https://www.vgtime.com/game/10521.jhtml
生化危机2 重制版,Resident Evil 2 Remake,-1.0,-1,"['PC', 'XBone', 'PS4']",2019-01-25,"['动作', '生存', '恐怖', '射击', '剧情']",CAPCOM,"['动作', '生存', '恐怖', '射击', '剧情', '经典']",https://www.vgtime.com/game/2693.jhtml
Gunsport,,-1.0,-1,"['PC', 'XBone', 'PS4']",2018,['动作'],Necrosoft Games,['动作'],https://www.vgtime.com/game/139.jhtml
DayZ,DayZ,-1.0,-1,"['PC', 'XBone', 'PS4']",2018,"['MMO', '生存', '射击']",Bohemia Interactive,"['MMO', '生存', '射击']",https://www.vgtime.com/game/562.jhtml
凤凰计划,Project Phoenix,-1.0,-1,"['PC', 'PS4']",2018,"['角色扮演', '即时战略']",Creative Intelligence Arts,"['角色扮演', '即时战略']",https://www.vgtime.com/game/1374.jhtml
双重机甲,Dual Gear,-1.0,-1,"['PC', 'XBone', 'PS4']",2018,"['动作', '策略']",Orbital Speed Studio,"['动作', '策略']",https://www.vgtime.com/game/3545.jhtml
心之所向Alicia,Heart Forth Alicia,-1.0,-1,"['PSV', 'PS4']",2018,['平台'],Alonso Martin,['平台'],https://www.vgtime.com/game/1111.jhtml
美少女梦工厂VR,Princess Maker VR,-1.0,-1,['PC'],2018,"['模拟', '育成']",MGame,"['模拟', '育成']",https://www.vgtime.com/game/4436.jhtml
猎杀众神,Praey for the Gods,-1.0,-1,"['PC', 'XBone', 'PS4']",2018,"['动作', '生存', '冒险']",No Matter,"['动作', '生存', '冒险']",https://www.vgtime.com/game/4342.jhtml
妖精的尾巴 魔导少年,,-1.0,-1,"['Android', 'iOS']",2018,"['策略', '角色扮演']",Tencent,"['策略', '角色扮演']",https://www.vgtime.com/game/10171.jhtml
黑巫术,Black Witchcraft,-1.0,-1,"['PC', 'XBone', 'PS4']",2018,"['动作', '平台']",Quattro Gear,"['动作', '平台']",https://www.vgtime.com/game/10297.jhtml
终点咖啡馆,Necrobarista,-1.0,-1,"['PC', 'Switch']",2018,['策略'],Route 59,['策略'],https://www.vgtime.com/game/10446.jhtml
Griftlands,,-1.0,-1,['PC'],2018,['角色扮演'],Klei Entertainment,['角色扮演'],https://www.vgtime.com/game/10397.jhtml
闪乱神乐 7EVEN 少女们的幸福,閃乱カグラ 7EVEN -少女達の幸福-,-1.0,-1,['PS4'],2018,"['动作', '角色扮演']",Marvelous,"['动作', '角色扮演']",https://www.vgtime.com/game/10455.jhtml
肯塔基0号公路 TV版,Kentucky Route Zero TV Edition,-1.0,-1,"['XBone', 'PS4', 'Switch']",2018,"['模拟', '解谜', '科幻', '冒险', '独立']",Cardboard Computer,"['模拟', '解谜', '科幻', '冒险', '独立']",https://www.vgtime.com/game/10503.jhtml
Sky光·遇,Sky: Light Awaits,-1.0,-1,['iOS'],2018,"['解谜', '冒险', '第三人称', '独立']",thatgamecompany,"['解谜', '冒险', '第三人称', '独立']",https://www.vgtime.com/game/10533.jhtml
紫塞秋风,The Wind Road,-1.0,-1,['PC'],2018,"['动作', '冒险', '第三人称']",BlackCGGame,"['动作', '冒险', '第三人称']",https://www.vgtime.com/game/10555.jhtml
代号：硬核,Code:HARDCORE,-1.0,-1,"['PC', 'PS4']",2018,"['动作', '平台', '科幻', '射击', '独立']",火箭拳科技,"['动作', '平台', '科幻', '射击', '独立']",https://www.vgtime.com/game/10589.jhtml
百鬼世界,World of Demons,-1.0,-1,"['Android', 'iOS']",2018,"['动作', '角色扮演', '冒险']",PlatinumGames,"['动作', '角色扮演', '冒险']",https://www.vgtime.com/game/10706.jhtml
