name,nickname,score,count,platform,date,dna,company,tag,url,img
了不起的修仙模拟器,Amazing Cultivation Simulator,-1.0,-1,['PC'],2019-01-01,"['角色扮演', '模拟', '育成', '生存', '沙箱', '冒险', '独立']",GSQ Games,"['角色扮演', '模拟', '育成', '生存', '沙箱', '冒险', '独立']",https://www.vgtime.com/game/11112.jhtml,https://img01.vgtime.com/game/cover/2018/12/21/181221175139989.jpg
薄暮传说 重制版,テイルズ オブ ヴェスペリア REMASTER,-1.0,-1,"['PC', 'XBone', 'PS4', 'Switch']",2019-01-11,"['动作', '角色扮演', '第三人称', '剧情']",Bandai Namco,"['动作', '角色扮演', '第三人称', '剧情', 'RPG', '经典']",https://www.vgtime.com/game/10770.jhtml,https://img01.vgtime.com/game/cover/2018/06/12/180612023728189.jpg
马里奥与路易吉RPG3 DX,マリオ＆ルイージRPG3 DX,-1.0,-1,['3DS'],2018-12-27,['角色扮演'],Nintendo,['角色扮演'],https://www.vgtime.com/game/10627.jhtml,https://img01.vgtime.com/game/cover/2018/03/09/180309131950214.jpg
皇牌空战7：未知天空,Ace Combat 7: Skies Unknown,-1.0,-1,"['PC', 'XBone', 'PS4']",2019-01-17,"['模拟', '射击']",Project Aces,"['模拟', '射击']",https://www.vgtime.com/game/3494.jhtml,https://img01.vgtime.com/photo/web/151207095856588.jpg
新超级马力欧兄弟U 豪华版,New Super Mario Bros. U Deluxe,-1.0,-1,['Switch'],2019-01-11,"['动作', '益智', '派对', '多人']",Nintendo,"['动作', '益智', '派对', '多人']",https://www.vgtime.com/game/10904.jhtml,https://img01.vgtime.com/game/cover/2018/09/14/180914152704820.jpg
英雄不再：Travis Strikes Again,Travis Strikes Again: No More Heroes,-1.0,-1,['Switch'],2019-01-18,"['动作', '角色扮演', '冒险', '第三人称']",Grasshopper Manufacture,"['动作', '角色扮演', '冒险', '第三人称']",https://www.vgtime.com/game/10521.jhtml,https://img01.vgtime.com/game/cover/2018/01/28/180128183128792.jpg
生化危机2 重制版,Resident Evil 2 Remake,-1.0,-1,"['PC', 'XBone', 'PS4']",2019-01-25,"['动作', '生存', '恐怖', '射击', '剧情']",CAPCOM,"['动作', '生存', '恐怖', '射击', '剧情', '经典']",https://www.vgtime.com/game/2693.jhtml,https://img01.vgtime.com/game/cover/2018/12/04/181204151026747.jpg
王国之心3,Kingdom Hearts III,-1.0,-1,"['XBone', 'PS4']",2019-01-25,"['动作', '第三人称', '剧情']",Square Enix,"['动作', '第三人称', '剧情']",https://www.vgtime.com/game/173.jhtml,https://img01.vgtime.com/game/cover/2018/09/18/180918143727447.jpg
龙之死印,Dragon：Marked For Death,-1.0,-1,['Switch'],2019-01-31,['动作'],Inti Creates,['动作'],https://www.vgtime.com/game/10509.jhtml,https://img01.vgtime.com/game/cover/2018/01/28/180128184402318.jpg
Vane,,-1.0,-1,"['PC', 'PS4']",2019-01-25,"['角色扮演', '冒险']",Friend & Foe,"['角色扮演', '冒险']",https://www.vgtime.com/game/10995.jhtml,https://img01.vgtime.com/game/cover/2018/12/10/18121016130791.jpg
DayZ,DayZ,-1.0,-1,"['PC', 'XBone', 'PS4']",2018,"['MMO', '生存', '射击']",Bohemia Interactive,"['MMO', '生存', '射击']",https://www.vgtime.com/game/562.jhtml,https://img01.vgtime.com/photo/web/150427144612841.jpg
Gunsport,,-1.0,-1,"['PC', 'XBone', 'PS4']",2018,['动作'],Necrosoft Games,['动作'],https://www.vgtime.com/game/139.jhtml,https://img01.vgtime.com/photo/web/150928120004558.png
心之所向Alicia,Heart Forth Alicia,-1.0,-1,"['PSV', 'PS4']",2018,['平台'],Alonso Martin,['平台'],https://www.vgtime.com/game/1111.jhtml,https://img01.vgtime.com/photo/web/151014173822455.png
凤凰计划,Project Phoenix,-1.0,-1,"['PC', 'PS4']",2018,"['角色扮演', '即时战略']",Creative Intelligence Arts,"['角色扮演', '即时战略']",https://www.vgtime.com/game/1374.jhtml,https://img01.vgtime.com/photo/web/150813180601153.jpg
双重机甲,Dual Gear,-1.0,-1,"['PC', 'XBone', 'PS4']",2018,"['动作', '策略']",Orbital Speed Studio,"['动作', '策略']",https://www.vgtime.com/game/3545.jhtml,
猎杀众神,Praey for the Gods,-1.0,-1,"['PC', 'XBone', 'PS4']",2018,"['动作', '生存', '冒险']",No Matter,"['动作', '生存', '冒险']",https://www.vgtime.com/game/4342.jhtml,https://img01.vgtime.com/game/cover/2018/01/28/180128173812827.jpg
美少女梦工厂VR,Princess Maker VR,-1.0,-1,['PC'],2018,"['模拟', '育成']",MGame,"['模拟', '育成']",https://www.vgtime.com/game/4436.jhtml,
妖精的尾巴 魔导少年,,-1.0,-1,"['Android', 'iOS']",2018,"['策略', '角色扮演']",Tencent,"['策略', '角色扮演']",https://www.vgtime.com/game/10171.jhtml,https://img01.vgtime.com/game/cover/2018/01/28/180128171641283.jpg
黑巫术,Black Witchcraft,-1.0,-1,"['PC', 'XBone', 'PS4']",2018,"['动作', '平台']",Quattro Gear,"['动作', '平台']",https://www.vgtime.com/game/10297.jhtml,
最后一夜,The Last Night,-1.0,-1,"['PC', 'XBone']",2018,['角色扮演'],null,['角色扮演'],https://www.vgtime.com/game/10365.jhtml,https://img01.vgtime.com/game/cover/2018/01/28/180128170106353.jpg
Ooblets,,-1.0,-1,"['PC', 'XBone']",2018,"['角色扮演', '模拟']",null,"['角色扮演', '模拟']",https://www.vgtime.com/game/10401.jhtml,https://img01.vgtime.com/game/cover/2018/01/28/180128130404757.jpg
Griftlands,,-1.0,-1,['PC'],2018,['角色扮演'],Klei Entertainment,['角色扮演'],https://www.vgtime.com/game/10397.jhtml,https://img01.vgtime.com/game/cover/2018/03/05/180305085928440.jpg
终点咖啡馆,Necrobarista,-1.0,-1,"['PC', 'Switch']",2018,['策略'],Route 59,['策略'],https://www.vgtime.com/game/10446.jhtml,https://img01.vgtime.com/game/cover/2018/01/28/180128182749942.jpg
闪乱神乐 7EVEN 少女们的幸福,閃乱カグラ 7EVEN -少女達の幸福-,-1.0,-1,['PS4'],2018,"['动作', '角色扮演']",Marvelous,"['动作', '角色扮演']",https://www.vgtime.com/game/10455.jhtml,
无限边境 EXCEED 超级机器人大战OG传奇,無限のフロンティアEXCEED スーパーロボット大戦OGサーガ,-1.0,-1,['NDS'],2010-02-25,['角色扮演'],Monolith Soft,['角色扮演'],https://www.vgtime.com/game/3811.jhtml,
任天堂明星大乱斗 特别版,大乱闘スマッシュブラザーズ SPECIAL,9.5,772,['Switch'],2018-12-07,"['动作', '格斗', '生存']",Bandai Namco,"['动作', '格斗', '生存', '666', '真香', '粉丝向', '千万IP', '三大格斗游戏之一', '星之卡比外传', '超良心巨作', '格斗游戏巅峰之作', '巨大内容', '干翻耀西', '“硬盒”', '越萌越能打', '游戏就是要好玩', '来了老弟？别想出去了', '鹿丝抗提牛', '再来亿局', '独特完美体验', '超高完成度', '上瘾', '秒杀街霸铁拳拳皇', '皮丘好萌']",https://www.vgtime.com/game/10632.jhtml,https://img01.vgtime.com/game/cover/2018/06/13/180613191124286.jpg
黑暗之魂3,Dark Souls Ⅲ,9.3,4282,"['PC', 'XBone', 'PS4']",2016-03-24,"['动作', '角色扮演', '冒险', '第三人称']",FromSoftware,"['动作', '角色扮演', '冒险', '第三人称', '抖M之魂', '恋爱模拟', '受苦', '卡顿之魂', '优化差之魂', '民风淳朴不死街', '黑暗剑', '休闲娱乐', '翻滚之魂', '换装游戏', 'cosplay', '盾反之魂', '步行模拟器', 'ASS之魂', '狗头人', '老配方', '传火之魂']",https://www.vgtime.com/game/2179.jhtml,https://img01.vgtime.com/photo/web/16012815135181.jpg
太鼓达人 Wii U,太鼓の達人 Wii Uば～じょん！,-1.0,-1,['WiiU'],2013-11-21,['音乐'],Bandai Namco,['音乐'],https://www.vgtime.com/game/3011.jhtml,https://img01.vgtime.com/photo/web/150918104344739.jpg
维纳斯与布雷斯,ヴィーナス＆ブレイブス～魔女と女神と滅びの予言～,-1.0,-1,['PSP'],2011-01-20,"['策略', '角色扮演']",Bandai Namco,"['策略', '角色扮演']",https://www.vgtime.com/game/2636.jhtml,https://img01.vgtime.com/photo/web/150804154154560.jpg
机动战士高达 基连的野望 吉翁的系谱,機動戦士ガンダム ギレンの野望 ジオンの系譜,-1.0,-1,['PSP'],2000-02-10,['策略'],Cattle Call,['策略'],https://www.vgtime.com/game/4121.jhtml,
黑暗之魂,Dark Souls,9.2,1132,"['PC', 'X360', 'PS3']",2011-09-22,"['动作', '角色扮演']",FromSoftware,"['动作', '角色扮演', '恋爱模拟', '休闲娱乐', '换装游戏', '步行模拟器', '菜鸟入门']",https://www.vgtime.com/game/2601.jhtml,https://img01.vgtime.com/photo/web/150803115522655.jpg
偶像大师 全力以赴,THE IDOL M@STER ONE FOR ALL,-1.0,-1,"['X360', 'PS3']",2014-05-15,['音乐'],Bandai Namco,['音乐'],https://www.vgtime.com/game/349.jhtml,https://img01.vgtime.com/photo/web/150714121202502.jpg
塞尔达传说：旷野之息,The Legend of Zelda：Breath of the Wild,9.7,9715,"['WiiU', 'Switch']",2017-03-03,"['动作', '沙箱', '冒险']",Nintendo,"['动作', '解谜', '沙箱', '冒险', '神作', '掌机游戏巅峰之作', '开放沙盒', '游戏性趣味性', '巅峰', '沙盒天尊', '细节惊人', '宇宙神作', 'Game Play', '隐藏要素巨多', '秒天秒地秒空气', '超神开创性', '满分并不意味着这个游戏是完美无缺的，给予如此的评价无非是向制作人员对游戏本质的不懈追求表示我们最高敬意！', '无可争议的神作', '不自觉就沉迷其中', '好玩之余还能练习英语', '垃圾，塞尔达秒了', '垃圾，塞尔达秒了它', '无可挑剔的艺术品', '多年以后再议2017还得是她', '捡破烂', '好玩', '真的好好玩啊啊啊', '这是一款为了玩到它值得买一款主机的游戏', '为什么我买了ns，因为我对塞尔达爱得深沉', 'crazy', '几乎完美', '塞尔达天下第一', '最爱', '烟雨未绸缪', '我不叫塞尔达！', '沉浸感', '勇者林克', '任天堂开发的超强作品', '塞尔达系列出色续作', '太牛逼啦！', '时代的艺术品', '肥宅快乐说', '秒了', '世界的主宰', 'rug', '没问题塞尔达！', '因为一个米法  值了', '玩过后让ns吃灰', '割草机林克']",https://www.vgtime.com/game/805.jhtml,https://img01.vgtime.com/photo/web/160616170441201.jpg
超级马力欧 奥德赛,Super Mario Odyssey,9.5,4459,['Switch'],2017-10-27,"['动作', '沙箱', '冒险']",Nintendo,"['动作', '沙箱', '冒险', '中文', '好玩', '爽', '换装', '收集', '女装', '马里奥64', '白学与三角恋', '一家三口', '碧池公主', '马里奥和他的帽子CP', '独具匠心', '箱庭跳跃']",https://www.vgtime.com/game/10077.jhtml,https://img01.vgtime.com/game/cover/2017/01/13/1701131929013.jpg
银河战士Prime 3 堕落,Metroid Prime 3:Corruption,-1.0,-1,['Wii'],2007-08-27,"['主视角', '射击']",Nintendo,"['主视角', '射击']",https://www.vgtime.com/game/3663.jhtml,
Wii Sports 运动胜地,Wii Sports Resort,-1.0,-1,['Wii'],2009-06-25,['体育'],Nintendo,['体育'],https://www.vgtime.com/game/2457.jhtml,https://img01.vgtime.com/photo/web/150724114349726.jpg
闪电十一人3:面向世界的挑战 The 王牙,Inazuma Eleven 3: Team Ogre Attacks!,-1.0,-1,['NDS'],2010-12-16,"['角色扮演', '体育']",LEVEL-5,"['角色扮演', '体育']",https://www.vgtime.com/game/1825.jhtml,https://img01.vgtime.com/photo/web/150429170412371.jpg
马里奥与索尼克：2014年索契冬奥会,Mario & Sonic at the Sochi 2014 Olympic Winter Games,-1.0,-1,['WiiU'],2013-11-15,['体育'],SEGA,['体育'],https://www.vgtime.com/game/745.jhtml,https://img01.vgtime.com/photo/web/150429232235471.jpg
马里奥对大金刚2,Mario vs. Donkey Kong 2: March of the Minis,-1.0,-1,['NDS'],2006-09-25,['平台'],Nintendo,['平台'],https://www.vgtime.com/game/4278.jhtml,
英雄不再,NO MORE HEROES,-1.0,-1,['Wii'],2007-12-06,"['动作', '冒险']",Grasshopper Manufacture,"['动作', '冒险']",https://www.vgtime.com/game/3773.jhtml,
肯塔基0号公路 TV版,Kentucky Route Zero TV Edition,-1.0,-1,"['XBone', 'PS4', 'Switch']",2018,"['模拟', '解谜', '科幻', '冒险', '独立']",Cardboard Computer,"['模拟', '解谜', '科幻', '冒险', '独立']",https://www.vgtime.com/game/10503.jhtml,https://img01.vgtime.com/game/cover/2018/01/28/180128182957264.jpg
紫塞秋风,The Wind Road,-1.0,-1,['PC'],2018,"['动作', '冒险', '第三人称']",BlackCGGame,"['动作', '冒险', '第三人称']",https://www.vgtime.com/game/10555.jhtml,https://img01.vgtime.com/game/cover/2018/01/28/180128182507272.jpg
Sky光·遇,Sky: Light Awaits,-1.0,-1,['iOS'],2018,"['解谜', '冒险', '第三人称', '独立']",thatgamecompany,"['解谜', '冒险', '第三人称', '独立']",https://www.vgtime.com/game/10533.jhtml,https://img01.vgtime.com/game/cover/2018/01/28/18012813044738.jpg
代号：硬核,Code:HARDCORE,-1.0,-1,"['PC', 'PS4']",2018,"['动作', '平台', '科幻', '射击', '独立']",火箭拳科技,"['动作', '平台', '科幻', '射击', '独立']",https://www.vgtime.com/game/10589.jhtml,https://img01.vgtime.com/game/cover/2018/01/28/180128143513425.jpg
圣女战旗,Bannière de la Pucelle,-1.0,-1,"['PC', 'PS4', 'Switch']",2018,"['策略', '角色扮演', '独立', '回合制']",圣女战旗制作组,"['策略', '角色扮演', '独立', '回合制', '策略战棋', '舔爆']",https://www.vgtime.com/game/10617.jhtml,https://img01.vgtime.com/game/cover/2018/02/24/180224115952707.jpg
Star Child,,-1.0,-1,['PS4'],2018,"['动作', '平台', 'VR']",Playful,"['动作', '平台', 'VR']",https://www.vgtime.com/game/10746.jhtml,
孩子,KIDS,-1.0,-1,['PC'],2018,"['动作', '冒险', '独立']",Michael Frei,"['动作', '冒险', '独立']",https://www.vgtime.com/game/10682.jhtml,https://img01.vgtime.com/game/cover/2018/04/03/180403161550221.jpg
百鬼世界,World of Demons,-1.0,-1,"['Android', 'iOS']",2018,"['动作', '角色扮演', '冒险']",PlatinumGames,"['动作', '角色扮演', '冒险']",https://www.vgtime.com/game/10706.jhtml,https://img01.vgtime.com/game/cover/2018/04/19/18041912070971.jpg
骷髅骑士 重制版,MediEvil Remastered,-1.0,-1,['PS4'],2018,"['动作', '恐怖', '第三人称']",Sony Interactive Entertainment,"['动作', '恐怖', '第三人称']",https://www.vgtime.com/game/10757.jhtml,
Farside,,-1.0,-1,"['PC', 'PS4']",2018,"['沙箱', '射击', '竞技']",Dark Horse Game Studio,"['沙箱', '射击', '竞技']",https://www.vgtime.com/game/10849.jhtml,
世界末日症候群,World End Syndrome,-1.0,-1,"['PSV', 'PS4', 'Switch']",2018,"['文字', '冒险', '主视角']",Toybox Games,"['文字', '冒险', '主视角']",https://www.vgtime.com/game/10822.jhtml,https://img01.vgtime.com/game/cover/2018/07/13/180713082139235.jpg
Children of Morta,,-1.0,-1,"['PC', 'XBone', 'PS4', 'Switch']",2018,"['动作', '角色扮演', '冒险', '独立']",Dead Mage,"['动作', '角色扮演', '冒险', '独立']",https://www.vgtime.com/game/10869.jhtml,https://img01.vgtime.com/game/cover/2018/08/21/180821225847814.jpg
皇牌空战6 解放的战火,Ace Combat 6: Fires of Liberation,7.3,17,['X360'],2007-10-23,['射击'],Project Aces,['射击'],https://www.vgtime.com/game/3722.jhtml,
让它死吧,Let It Die,7.7,28,"['PC', 'PS4']",2016-12-03,['动作'],Grasshopper Manufacture,"['动作', 'Roguelike']",https://www.vgtime.com/game/551.jhtml,https://img01.vgtime.com/photo/web/15092916505120.jpg
暗影诅咒,Shadows of the Damned,7.4,19,"['X360', 'PS3']",2011-06-21,"['动作', '射击']",Grasshopper Manufacture,"['动作', '射击']",https://www.vgtime.com/game/2786.jhtml,https://img01.vgtime.com/photo/web/150908153015973.jpg
杀手7,Killer 7,-1.0,-1,"['PC', 'PS2']",2005-06-07,"['动作', '冒险', '射击']",Grasshopper Manufacture,"['动作', '冒险', '射击']",https://www.vgtime.com/game/4081.jhtml,
花、太阳与雨,Flower,-1.0,-1,"['NDS', 'PS2']",2001-05-02,"['解谜', '文字', '冒险']",Grasshopper Manufacture,"['解谜', '文字', '冒险']",https://www.vgtime.com/game/10647.jhtml,https://img01.vgtime.com/game/cover/2018/03/19/180319140218454.jpg
怪物猎人 世界,Monster Hunter World,9.4,5684,"['PC', 'XBone', 'PS4']",2018-01-26,"['动作', '角色扮演', '第三人称']",CAPCOM,"['动作', '角色扮演', '冒险', '第三人称', '刷刷刷', '恋爱模拟', '生态系统', '老猎人', '怪物虐人', '世界世界！！', '师姐师姐', '猛汉王', '厉害了', '打击感强', '帅！', '被虐和虐怪的过程', '太爱了！！', '来虐死我吧！！！！', '猎人暖暖', '买爆！爽爆！', '牛逼！', '读心术！', '确认过眼神✪ω✪', '户外烧烤模拟器', 'PS4中文独占', '单机猎人', '爱过，救你，保大', '掉线猎人', 'aibo', '臭b', '真猎人', '猫车猎人', '肝还在龙没了', '神奇动物在哪里']",https://www.vgtime.com/game/10394.jhtml,https://img01.vgtime.com/game/cover/2018/02/07/180207165418120.jpg
逆转裁判123 成步堂选集,Gyakuten Saiban 123: Naruhodo Selection,9.3,516,"['PC', '3DS', 'XBone', 'PS4', 'Switch']",2014-04-17,"['文字', '冒险']",CAPCOM,"['文字', '冒险', '異議あり!']",https://www.vgtime.com/game/2084.jhtml,https://img01.vgtime.com/photo/web/150422121535661.jpg
幽灵诡计,ゴーストトリック,9.3,517,['NDS'],2010-06-19,['文字'],CAPCOM,"['文字', '巧舟']",https://www.vgtime.com/game/3880.jhtml,
